college,total_citations
Virginia Commonwealth University,68760.0
University of Passau,68403.0
University of Sannio,68099.0
Bielefeld University,67808.0
PUC-RS,67611.0
University of Wroclaw,67501.0
Naval Postgraduate School,67367.0
University of Kiel,67100.0
University of Vermont,66774.0
USP,66357.0
UFRJ,66307.0
TU Dortmund,65984.0
University of Duisburg-Essen,64581.0
UFF,63577.0
NYU Shanghai,63156.0
UFPE,62560.0
George Washington University,62176.0
National Cheng Kung University,62072.0
IIT Patna,61897.0
Durham University,61844.0
University of Canterbury,60373.0
University of Augsburg,59577.0
University of Murcia,59365.0
Boise State University,59014.0
Cleveland State University,58583.0
Masdar Institute,57532.0
Stevens Institute of Technology,57217.0
University of Cincinnati,56931.0
IUPUI,56924.0
University of Groningen,56257.0
Auburn University,56143.0
Sharif University of Technology,55479.0
University of Louisiana - Lafayette,55349.0
Universidade NOVA de Lisboa,55326.0
IIT Hyderabad,55144.0
Brandeis University,54379.0
Hacettepe University,54279.0
University of Regina,54207.0
West Virginia University,54198.0
IPI PAN,53656.0
ShanghaiTech University,53631.0
University of Malaya,53035.0
University of Rostock,53033.0
Keio University,52470.0
University of Potsdam,52137.0
Université de Sherbrooke,51935.0
Tata Inst. of Fundamental Research,51636.0
Ontario Tech University,51578.0
Korea University,51167.0
University of Nevada,51074.0
UNC - Charlotte,50373.0
Charles University,50206.0
American University of Beirut,50000.0
Université Jean Monnet,49810.0
University of Göttingen,49497.0
Kansas State University,49490.0
University of Memphis,49092.0
IIT Madras,48796.0
University of St Andrews,48557.0
Universidad Rey Juan Carlos,48511.0
Aberystwyth University,48483.0
Brno University of Technology,47794.0
McMaster University,47128.0
Boğaziçi University,47049.0
Shandong University,46975.0
DAIICT,46940.0
University of Marburg,46591.0
IIT (BHU) Varanasi,45946.0
Louisiana State University,45550.0
IMDEA Software Institute,45468.0
Universidad de Chile,45245.0
Hanyang University,44597.0
UNIST,44392.0
Middle East Technical University,44232.0
University of Missouri - Kansas City,44202.0
Old Dominion University,44085.0
University of Buenos Aires,44032.0
IIIT Bangalore,43596.0
Özyeğin University,43430.0
Université Laval,42619.0
University of Texas - El Paso,42379.0
TU Ilmenau,42267.0
Middlesex University,42239.0
University of Michigan-Dearborn,42226.0
University of Dundee,41288.0
New Mexico State University,40659.0
UFPR,40570.0
University of Haifa,40348.0
University of Koblenz-Landau,40131.0
University of Aberdeen,39652.0
Florida Institute of Technology,39546.0
University of Bern,39057.0
University of Kassel,38704.0
University of L'Aquila,38380.0
University of Siegen,38230.0
Bundeswehr University Munich,38229.0
University of Szeged,37820.0
University of Miami,37160.0
Scuola Superiore Sant'Anna,37098.0
University of Bamberg,37031.0
Texas State University,36787.0
Tilburg University,36700.0
University of Louisville,36585.0
Cyprus University of Technology,36512.0
Ryerson University,36188.0
University of New Hampshire,35898.0
Waseda University,35730.0
IIT Gandhinagar,35516.0
Istanbul Technical University,35370.0
Lebanese American University,33748.0
BITS Pilani,33616.0
University of Wuppertal,32738.0
University of Bayreuth,32711.0
Kent State University,32410.0
Goldsmiths University of London,32382.0
Koç University,31710.0
Tulane University,31570.0
University of Newcastle,30878.0
Bocconi University,30566.0
Portland State University,30247.0
University of Tulsa,29338.0
University of Mainz,29323.0
Brandenburg University of Technology,29261.0
TOBB ETÜ,29112.0
University of Oldenburg,28866.0
Utah State University,28684.0
University of Hildesheim,28504.0
Western Michigan University,28293.0
IIT Jodhpur,28222.0
Loughborough University,28030.0
Universidade de Brasília,27908.0
University of Osnabrück,27881.0
Polytechnique Montreal,27544.0
Augusta University,27068.0
Freie Universitaet Berlin,27038.0
Kyung Hee University,27037.0
Friedrich Schiller University Jena,27009.0
IIT Mandi,26377.0
IUST,26169.0
University of Wyoming,25331.0
University of Salzburg,25237.0
JUST,25172.0
University of Arkansas,24833.0
CMI,24819.0
University of Molise,23793.0
Jacobs University Bremen,22799.0
Sabancı University,22666.0
IIT Roorkee,22498.0
Memorial University of Newfoundland,22465.0
BUET,21904.0
Texas Tech University,21818.0
Nova Southeastern University,21272.0
University of Trier,21077.0
Universidad de los Andes,21030.0
Hamburg University of Technology,20996.0
OHSU,20627.0
Tongji University,20167.0
University at Albany - SUNY,19946.0
Boston College,19719.0
TU Clausthal,19443.0
University of Alabama - Birmingham,19339.0
IIT Ropar,19290.0
IIT Indore,19240.0
Universidad Nacional de Córdoba,18996.0
University of Jordan,18960.0
Federal University of Rio Grande,18603.0
Ariel University,18288.0
King Abdulaziz University,18253.0
UFU,17890.0
University of Halle-Wittenberg,17581.0
Stellenbosch University,17201.0
Yıldız Technical University,16848.0
Michigan Technological University,16824.0
The University of Alabama,16733.0
National Institute of Technology Silchar,16720.0
University of Nevada Las Vegas,16622.0
Oakland University,16137.0
University of Cape Town,15470.0
Wichita State University,15455.0
University of Nicosia,15351.0
Mississippi State University,15245.0
Southern Methodist University,14882.0
BITS Pilani-Goa,14762.0
LUMS,14570.0
University of Windsor,14487.0
Claremont Graduate University,14232.0
American University in Cairo,13931.0
University of Wisconsin - Milwaukee,13874.0
University of Idaho,13697.0
Ohio University,13603.0
IMSc,13465.0
TU Chemnitz,13348.0
Bauhaus University Weimar,13080.0
Montana State University,12835.0
University of Maine,12398.0
Universidad de Zaragoza,11420.0
South Asian University,10992.0
University of Malta,10829.0
University of Alabama - Huntsville,10417.0
University of Nebraska - Omaha,10290.0
Towson University,10002.0
Izmir Institute of Technology,9911.0
Galatasaray University,9823.0
University of New Orleans,9755.0
University of Southern Mississippi,8500.0
IPM,8161.0
UFMS,7974.0
University of Denver,7903.0
Ecole Normale Superieure de Rennes,7655.0
SUFE,6841.0
New Mexico Tech,6525.0
De La Salle University,6514.0
IIT Bhubaneswar,6357.0
Universidade Federal de Viçosa,6342.0
KMUTNB,5679.0
DTU,5362.0
Simula UiB,5338.0
University of Arkansas - Little Rock,4387.0
Oklahoma State University,4253.0
Babeș-Bolyai University,4206.0
Missouri S&T,3997.0
University of Mississippi,3832.0
Royal Military College of Canada,3688.0
Simmons University,2879.0
University of Twente,2800.0
Air Force Institute of Technology,2566.0
North Dakota State University,2337.0
Louisiana Tech University,2158.0
IIT Goa,1122.0
Indiana State University,1049.0
University of Colorado - Denver,1014.0
Chulalongkorn University,912.0
Ruhr-Universty Bochum,868.0
TU Freiberg,639.0
LIU Post,421.0
Wichita State Unitveristy,31.0
