,Name,affiliation,homepage,scholar-id,citations,h-index
1789,Eric Bach,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~bach/bach.html,,,
1790,Guri Sohi,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~sohi,,,
1791,Garvesh Raskutti,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~raskutti,,,
1792,Po-Ling Loh,University of Wisconsin - Madison,http://homepages.cae.wisc.edu/~loh,,,
1793,Colin N. Dewey,University of Wisconsin - Madison,https://www.biostat.wisc.edu/~cdewey,0ZMkdbYAAAAJ,44738.0,34.0
1794,Ramya Korlakai Vinayak,University of Wisconsin - Madison,https://ramyakv.github.io,-dDKMgoAAAAJ,160.0,6.0
1795,Yea-Seul Kim,University of Wisconsin - Madison,https://pages.cs.wisc.edu/~yeaseulkim,I6_09PIAAAAJ,503.0,13.0
1796,Jignesh M. Patel,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~jignesh,tOjfnFMAAAAJ,20242.0,66.0
1797,Dan Negrut,University of Wisconsin - Madison,https://sbel.wisc.edu/negrut-dan,dTrsl-gAAAAJ,3307.0,33.0
1798,James R. Luedtke,University of Wisconsin - Madison,https://homepages.cae.wisc.edu/~luedtkej,f-GQKN0AAAAJ,3379.0,26.0
1799,Deborah Joseph,University of Wisconsin - Madison,http://www.cs.wisc.edu/people/joseph,,,
1800,Mukul Goyal,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/goyal-ph-d-mukul,,,
1801,Susan McRoy,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/mcroy-ph-d-susan,cIxN_SIAAAAJ,1886.0,21.0
1802,Amol Dattatraya Mali,University of Wisconsin - Milwaukee,http://www.cs.uwm.edu/faculty/mali/conferences/distributed-ictai.pdf,9aqKSJ0AAAAJ,566.0,11.0
1803,Tian Zhao,University of Wisconsin - Milwaukee,http://jiangxi.cs.uwm.edu,65p2anoAAAAJ,1344.0,23.0
1804,Guangwu Xu,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/xu-ph-d-guangwu,,,
1805,Ichiro Suzuki,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/suzuki-ph-d-ichiro,,,
