,Name,affiliation,homepage,scholar-id,citations,h-index
195,Johannes Kinder,Bundeswehr University Munich,https://www.unibw.de/systemsicherheit/kinder,rnDHTKYAAAAJ,2605.0,25.0
196,Wolfgang Reinhardt,Bundeswehr University Munich,https://websrv.rz.unibw-muenchen.de/inf4/professuren/geoinformatik/index_html,Xar_GqcAAAAJ,931.0,16.0
197,Vasco Brattka,Bundeswehr University Munich,http://theory.cca-net.de/vasco.php,BlPeOrIAAAAJ,2903.0,30.0
198,Gunnar Teege,Bundeswehr University Munich,http://www.unibw.de/gunnar.teege,,,
199,Oliver Rose,Bundeswehr University Munich,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-dr-oliver-rose,CJqlQKQAAAAJ,3973.0,25.0
200,Gabi Dreo,Bundeswehr University Munich,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-in-dr-gabi-dreo-rodosek,,,
201,Klaus Buchenrieder,Bundeswehr University Munich,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-ph-d-klaus-buchenrieder,,,
202,Michael Koch,Bundeswehr University Munich,http://www.unibw.de/michael.koch,knY18cEAAAAJ,5047.0,32.0
203,Cornelius Greither,Bundeswehr University Munich,https://www.unibw.de/timor/mitarbeiter/greither/univ-prof-dr-cornelius-greither,,,
204,Andreas Zeller,CISPA Helmholtz Center,https://www.st.cs.uni-saarland.de/zeller,,,
205,Sebastian U. Stich,CISPA Helmholtz Center,https://www.sstich.ch,8l-mDfQAAAAJ,5791.0,24.0
206,Sven Bugiel,CISPA Helmholtz Center,https://trust.cispa.saarland/~bugiel,sPrlusAAAAAJ,3578.0,24.0
207,Antoine Joux,CISPA Helmholtz Center,https://cispa.saarland/people/c01anjo,BG9yVCMAAAAJ,10422.0,44.0
208,Aleksandar Bojchevski,CISPA Helmholtz Center,https://abojchevski.github.io,F1APiN4AAAAJ,2285.0,14.0
209,Dániel Marx,CISPA Helmholtz Center,https://cispa.saarland/people/c01dama,hY2ibr8AAAAJ,9651.0,48.0
210,Mario Fritz,CISPA Helmholtz Center,https://cispa.saarland/people/gallery,4V1nNm4AAAAJ,14780.0,62.0
211,Nico Döttling,CISPA Helmholtz Center,https://cispa.saarland/people/nico.doettling,F8rmIoIAAAAJ,1455.0,23.0
212,Cas Cremers,CISPA Helmholtz Center,https://cispa.saarland/people/cas.cremers,3uT_2lcAAAAJ,6479.0,38.0
213,Rebekka Burkholz,CISPA Helmholtz Center,https://sites.google.com/view/rebekkaburkholz/rebekka-burkholz,vkWBb2wAAAAJ,197.0,7.0
214,Rayna Dimitrova,CISPA Helmholtz Center,https://www.sheffield.ac.uk/dcs/people/academic/rayna-dimitrova,HgCDGyQAAAAJ,384.0,11.0
215,Yang Zhang,CISPA Helmholtz Center,https://yangzhangalmo.github.io,Xeb2888AAAAJ,2154.0,22.0
216,Thorsten Holz,CISPA Helmholtz Center,http://syssec.rub.de/~tho,tv2HR38AAAAJ,19365.0,69.0
217,Jilles Vreeken,CISPA Helmholtz Center,http://people.mmci.uni-saarland.de/~jilles,p5HEQfIAAAAJ,4724.0,36.0
218,Nils Ole Tippenhauer,CISPA Helmholtz Center,https://cispa.saarland/people/nils.tippenhauer,IptcAgQAAAAJ,4858.0,36.0
219,Michael Backes,CISPA Helmholtz Center,https://cispa.de/en/people/backes,ZVS3KOEAAAAJ,18330.0,77.0
220,Bernd Finkbeiner,CISPA Helmholtz Center,https://www.react.uni-saarland.de/people/finkbeiner.html,mSwHrYMAAAAJ,4322.0,35.0
221,Mridula Singh,CISPA Helmholtz Center,https://cispa.de/en/people/c01mrsi,0nTK5BsAAAAJ,129.0,7.0
222,Katharina Krombholz,CISPA Helmholtz Center,https://cispa.saarland/people/katharina.krombholz,BkeawyUAAAAJ,1878.0,18.0
223,Julian Loss,CISPA Helmholtz Center,https://www.julianloss.com,RTGQifoAAAAJ,516.0,12.0
224,Sascha Fahl,CISPA Helmholtz Center,https://saschafahl.de,uiB3WGEAAAAJ,4118.0,32.0
