,Name,University,id
200,Andrew J. Davison,Imperial College London,SNQFnBEAAAAJ
201,Ruth Misener,Imperial College London,zvEK6hMAAAAJ
202,Thomas L. Sterling,Indiana University,t4BXt2EAAAAJ
203,David J. Wild,Indiana University,0YOKRoAAAAJ
204,Lei Jiang,Indiana University,1sXorAAAAAJ
205,XiaoFeng Wang,Indiana University,u4dhRkQAAAAJ
206,Johnny S. Wong,Iowa State University,w3UeCAoAAAAJ
207,Oliver Eulenstein,Iowa State University,HWF6UxgAAAAJ
208,Mustafa E. Kamasak,Istanbul Technical University,U5UhNHEAAAAJ
209,Josef Scharinger,JKU Linz,DSgdJYwAAAAJ
210,Qanita Bani Baker,JUST,5m5NJOcAAAAJ
211,Malak Abdullah,JUST,XHlvQbUAAAAJ
212,Rama Chellappa,Johns Hopkins University,mZxsTCcAAAAJ
213,Jaehyuk Huh,KAIST,NC4hxqEAAAAJ
214,Young Hee Lee,KAIST,vZXxTu0AAAAJ
215,Youngjin Kwon,KAIST,HvcmnF8AAAAJ
216,Sungwon Kang,KAIST,agu-mFoAAAAJ
217,Martin Ziegler,KAIST,wfD52B0AAAAJ
218,Soontae Kim,KAIST,fREY0lkAAAAJ
219,Vladimir B. Bajic,KAUST,uRmC0DQAAAAJ
220,Wannida Sae-Tang,KMUTNB,6nlcJK8AAAAJ
221,Sansiri Tanachutiwat,KMUTNB,EDs4YooAAAAJ
222,Wijarn Wangdee,KMUTNB,BQK97SMAAAAJ
223,Suramate Chalermwisutkul,KMUTNB,O6FAwMgAAAAJ
224,Mats Brorsson,KTH Royal Institute of Technology,BaZm_X8AAAAJ
225,Konrad Tollmar,KTH Royal Institute of Technology,l1jt6UAAAAAJ
226,Arslan Munir,Kansas State University,#NAME?
227,Jürgen Beyerer,Karlsruhe Institute of Technology,#NAME?
228,Kwangtaek Kim,Kent State University,itUoRvUAAAAJ
229,Jong-Hoon Kim,Kent State University,FdTOhw0AAAAJ
230,Waseem Ahmed,King Abdulaziz University,zzzxD7kAAAAJ
231,Amin Y. Noaman,King Abdulaziz University,btssDVcAAAAJ
232,Jaewoo Kang,Korea University,iiIxp8cAAAAJ
233,Didem Unat,Koç University,JQ1n--oAAAAJ
234,Aykut Erdem,Koç University,#NAME?
235,Ken Umeno,Kyoto University,LH8eRMMAAAAJ
236,Martin Hofmann,LMU Munich,MuXVKIMAAAAJ
237,Yasir Mehmood,LUMS,_Ur63fwAAAAJ
238,Barry Porter,Lancaster University,bzBKAYwAAAAJ
239,Joe Finney,Lancaster University,BVXKqI0AAAAJ
240,Liang Cheng,Lehigh University,7_2bG-YAAAAJ
241,Arielle Carr,Lehigh University,-4kYfDsAAAAJ
242,Yu Yang,Lehigh University,#NAME?
243,Baihua Li,Loughborough University,sQT_ID0AAAAJ
244,Zhiqiang Xu,MBZUAI,5SZ4NjAAAAAJ
245,Fahad Shahbaz Khan,MBZUAI,zvaeYnUAAAAJ 
246,Michael Hitchens,Macquarie University,N__ECjEAAAAJ
247,Stephen Smith,Macquarie University,ObLOzAwAAAAJ
248,Steve Cassidy,Macquarie University,Td8IE6cAAAAJ
249,Vaclav Prenosil,Masaryk University,DFSqdsEAAAAJ
250,Lubos Brim,Masaryk University,#NAME?
251,Khaled M. Elbassioni,Masdar Institute,yOXQRzMAAAAJ
252,Mihai A. T. Sanduleanu,Masdar Institute,sKP9fu0AAAAJ
253,Davor Svetinovic,Masdar Institute,5jy7MH0AAAAJ
254,Anant Agarwal,Massachusetts Institute of Technology,qvYAEucAAAAJ
255,Tim Kraska,Massachusetts Institute of Technology,biuxbRsAAAAJ
256,Asuman E. Ozdaglar,Massachusetts Institute of Technology,nWnBSOsAAAAJ
257,Jing Kong,Massachusetts Institute of Technology,WNOWLXAAAAAJ
258,Bonnie Berger,Massachusetts Institute of Technology,qMOS01AAAAAJ
259,Polina Golland,Massachusetts Institute of Technology,eeyDrJ8AAAAJ
260,Bill Wang,Massey University,u9TbFb0AAAAJ
261,S. C. Mukhopadhyay,Massey University,fsu2yL8AAAAJ
262,Miao Qiao,Massey University,Guff-1wAAAAJ
263,Jonathan Mace [SWS],Max Planck Society,#NAME?
264,Catalin Hritcu [SP],Max Planck Society,3XtW8AAAAJ
265,Kaleem Siddiqi,McGill University,1jEAOVcAAAAJ
266,Reza Samavi,McMaster University,wbObcaQAAAAJ
267,Yunhao Liu,Michigan State University,hon00PIAAAAJ
268,Uluc Saranli,Middle East Technical University,#NAME?
269,Juan Carlos Augusto,Middlesex University,cmpf-gkAAAAJ
270,Byron J. Williams,Mississippi State University,t4bGLWUAAAAJ
271,Zhiqian Chen,Mississippi State University,7i7exfsAAAAJ
272,Daniel R. Tauritz,Missouri University of Technology,ENvUql8AAAAJ
273,Donald C. Wunsch,Missouri University of Technology,nML1gAwAAAAJ
274,Andrew P. Paplinski,Monash University,7JgfO08AAAAJ
275,Kerri Morgan,Monash University,5WOihGQAAAAJ
276,Mark G. Wallace,Monash University,83oci4wAAAAJ
277,Maria Indrawan,Monash University,xzE1AkgAAAAJ
278,Grace Rumantir,Monash University,rOMD8K4AAAAJ
279,Rob Meredith,Monash University,agSLx_kAAAAJ
280,Julie Fisher,Monash University,hLCaPfAAAAAJ
281,Sue Foster,Monash University,v7seeT0AAAAJ
282,Dimitri Theodoratos,NJIT,FxSyhSgAAAAJ
283,Agnar Aamodt,NTNU,-3L6uJMAAAAJ
