Name,affiliation,homepage,scholar-id,citations,h-index
Beki Grinter,Georgia Institute of Technology,http://www.cc.gatech.edu/~beki/Beki.html,PNalJ58AAAAJ,16869.0,65.0
Calton Pu,Georgia Institute of Technology,http://www.cc.gatech.edu/~calton,Vbv-JEwAAAAJ,21758.0,70.0
Duen Horng (Polo) Chau,Georgia Institute of Technology,http://www.cc.gatech.edu/~dchau,YON32W4AAAAJ,6994.0,45.0
Nancy J. Nersessian,Georgia Institute of Technology,http://www.cc.gatech.edu/aimosaic/faculty/nersessian,m201flcAAAAJ,9667.0,46.0
Ellen W. Zegura,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Ellen.Zegura,Z6EHuGcAAAAJ,20118.0,55.0
Shamkant B. Navathe,Georgia Institute of Technology,http://www.cc.gatech.edu/computing/Database/faculty/sham,_Z12v2IAAAAJ,30050.0,58.0
Amy Bruckman,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Amy.Bruckman,IdWa_JkAAAAJ,14122.0,60.0
Charles Isbell,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Charles.Isbell,,,
Prasad Tetali,Georgia Institute of Technology,https://people.math.gatech.edu/~tetali,FmZaK1wAAAAJ,5667.0,43.0
Edmond Chow,Georgia Institute of Technology,http://www.cc.gatech.edu/~echow,jGqGKGMAAAAJ,7275.0,31.0
James D. Foley,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Jim.Foley/foley.html,GmcChLIAAAAJ,23952.0,40.0
Mostafa H. Ammar,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Mostafa.Ammar,OT79Y9UAAAAJ,23618.0,79.0
Santosh Pande,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Santosh.Pande,d6vL_ZkAAAAJ,644.0,14.0
Ada Gavrilovska,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,OlRjTCIAAAAJ,3372.0,29.0
Melody M. Moore,Georgia Institute of Technology,http://www.cc.gatech.edu/home/melody,83SAwBsAAAAJ,1248.0,18.0
Milena Mihail,Georgia Institute of Technology,http://www.cc.gatech.edu/home/mihail,,,
Taesoo Kim,Georgia Institute of Technology,https://taesoo.gtisc.gatech.edu,06hgT8gAAAAJ,6274.0,45.0
Constantine Dovrolis,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Constantinos.Dovrolis,sfuwsSwAAAAJ,15135.0,55.0
Zsolt Kira,Georgia Institute of Technology,http://www.cc.gatech.edu/~zk15,2a5XgNAAAAAJ,3994.0,26.0
Merrick L. Furst,Georgia Institute of Technology,http://www.cc.gatech.edu/people/merrick-furst,DDDRx9EAAAAJ,7072.0,18.0
Judy Hoffman,Georgia Institute of Technology,https://cs.berkeley.edu/~jhoffman,mqpjAt4AAAAJ,19055.0,40.0
Matthew C. Gombolay,Georgia Institute of Technology,https://www.cc.gatech.edu/people/matthew-gombolay,Ihyz20wAAAAJ,1245.0,18.0
Richard J. Lipton,Georgia Institute of Technology,http://www.cc.gatech.edu/people/richard-lipton,,,
Zvi Galil,Georgia Institute of Technology,http://www.cc.gatech.edu/people/zvi-galil,,,
Alexandra Boldyreva,Georgia Institute of Technology,http://www.cc.gatech.edu/~aboldyre,8mHLyRoAAAAJ,8805.0,30.0
Bruce N. Walker,Georgia Institute of Technology,http://sonify.psych.gatech.edu/~walkerb,xY3zIEAAAAAJ,6817.0,44.0
Srijan Kumar,Georgia Institute of Technology,https://www.cse.gatech.edu/people/srijan-kumar,kqfLNK8AAAAJ,3067.0,21.0
Jack Poulson,Georgia Institute of Technology,http://ideas.gatech.edu/hg/item/185201,,,
B. Aditya Prakash,Georgia Institute of Technology,http://www.cc.gatech.edu/~badityap,C-NftTgAAAAJ,4517.0,40.0
Paul Pearce,Georgia Institute of Technology,http://people.eecs.berkeley.edu/~pearce,JvY2c4YAAAAJ,1147.0,12.0
Rich Vuduc,Georgia Institute of Technology,http://vuduc.org,CCGI7x4AAAAJ,8636.0,42.0
David Devecsery,Georgia Institute of Technology,https://www.cc.gatech.edu/~ddevecsery6,HaJWLb0AAAAJ,275.0,6.0
Harish Ravichandar,Georgia Institute of Technology,https://www.cc.gatech.edu/people/harish-ravichandar,d2HP6SMAAAAJ,506.0,11.0
Alexey Tumanov,Georgia Institute of Technology,https://www.cc.gatech.edu/~atumanov,7P-gZioAAAAJ,3876.0,24.0
Manos Antonakakis,Georgia Institute of Technology,https://sites.google.com/site/antonakakis,P6VJcVIAAAAJ,6197.0,32.0
Mohit Singh,Georgia Institute of Technology,https://www2.isye.gatech.edu/~msingh94,eQ9_vDAAAAAJ,2541.0,27.0
Ahmed Saeed,Georgia Institute of Technology,https://www.cc.gatech.edu/~amsmti3,nuiUbpsAAAAJ,1177.0,12.0
