,name,affiliation,homepage,scholar_id,citations,h-index
132,Abhinav Gupta 0001,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE,,
133,Abhinav Kumar Singh,University of Southampton,https://www.ecs.soton.ac.uk/people/aks1a19,tkp3t2gAAAAJ,1535.0,15.0
134,Abhinav Shrivastava,University of Maryland - College Park,http://abhinavsh.info,mIF9BowAAAAJ,7599.0,21.0
135,Abhir Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,2144.0,22.0
136,Abhir H. Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,2144.0,22.0
137,Abhiram G. Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,2329.0,21.0
138,Abhiram Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,2329.0,21.0
139,Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,2932.0,25.0
140,Abhishek Bichhawat,IIT Gandhinagar,https://iitgn.ac.in/faculty/cse/abhishek,qJavKW4AAAAJ,222.0,6.0
141,Abhishek Chandra,University of Minnesota,http://www-users.cs.umn.edu/~chandra,hSklLfsAAAAJ,4550.0,34.0
142,Abhishek Dubey,Vanderbilt University,https://engineering.vanderbilt.edu/bio/abhishek-dubey,5J3w9OoAAAAJ,3302.0,29.0
143,Abhishek Gupta,University of Washington,https://abhishekunique.github.io,1wLVDP4AAAAJ,4672.0,27.0
144,Abhishek Jain 0002,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,xjkmJsgAAAAJ,3875.0,30.0
145,Abhishek Kr Singh,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abhishekks/profile,ps296UkAAAAJ,27.0,3.0
