,name,affiliation,homepage,scholar_id,citations,h-index
171,David I. August,Princeton University,http://august.princeton.edu,Wov5tYoAAAAJ,8007.0,46.0
172,Hélène Coullon,Ecole Normale Superieure de Lyon,http://avalon.ens-lyon.fr/members/hcoullon,ItRwACEAAAAJ,150.0,7.0
173,Aviel D. Rubin,Johns Hopkins University,http://avirubin.com,KWez2_sAAAAJ,16500.0,47.0
174,Donna Cox,Univ. of Illinois at Urbana-Champaign,http://avl.ncsa.illinois.edu/who-we-are/team/donna-cox-director,NOSCHOLARPAGE,,
175,Richard Hartley 0001,Australian National University,http://axiom.anu.edu.au/~hartley,cHia5p0AAAAJ,65826.0,82.0
176,Dan Ventura,Brigham Young University,http://axon.cs.byu.edu/Dan,iSsKAqQAAAAJ,3597.0,30.0
177,Tony R. Martinez,Brigham Young University,http://axon.cs.byu.edu/~martinez,R1JyT9AAAAAJ,8379.0,36.0
178,Marco Danelutto,University of Pisa,http://backus.di.unipi.it,XAY_AIIAAAAJ,5208.0,37.0
179,Gary D. Bader,University of Toronto,http://baderlab.org,22M9eisAAAAJ,67413.0,104.0
180,James P. Bagrow,University of Vermont,http://bagrow.com,krWnCYIAAAAJ,5308.0,23.0
181,Abdul Mohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,527.0,10.0
182,Yijia Chen,Fudan University,http://basics.sjtu.edu.cn/~chen,pBqhBdoAAAAJ,671.0,13.0
183,Guoqiang Li 0001,Shanghai Jiao Tong University,http://basics.sjtu.edu.cn/~liguoqiang,oylxWusAAAAJ,842.0,16.0
184,Huan Long,Shanghai Jiao Tong University,http://basics.sjtu.edu.cn/~longhuan,7nS7JQwAAAAJ,7214.0,42.0
185,Xiaoju Dong,Shanghai Jiao Tong University,http://basics.sjtu.edu.cn/~xiaoju,NOSCHOLARPAGE,,
186,Yuxi Fu,Shanghai Jiao Tong University,http://basics.sjtu.edu.cn/~yuxi,NOSCHOLARPAGE,,
187,Michael A. E. Wright,University of Bath,http://bath.academia.edu/MichaelWright,2dTrwzAAAAAJ,4851.0,32.0
188,Alexis Battle,Johns Hopkins University,http://battlelab.jhu.edu,yPOT9K0AAAAJ,24900.0,50.0
189,Hans-Knud Arndt,University of Magdeburg,http://bauhaus.cs.uni-magdeburg.de/cms/index,NOSCHOLARPAGE,,
190,Judea Pearl,Univ. of California - Los Angeles,http://bayes.cs.ucla.edu/jp_home.html,bAipNH8AAAAJ,118267.0,110.0
191,Rida A. Bazzi,Arizona State University,http://bazzi.faculty.asu.edu,FrMOlk8AAAAJ,1525.0,20.0
192,Francisco J. Valero Cuevas,University of Southern California,http://bbdl.usc.edu/Francisco.php,nq85o3QAAAAJ,6068.0,38.0
193,Hyeyoung Park,Kyungpook National University,http://bclab.knu.ac.kr,rP8xQqYAAAAJ,979.0,14.0
194,Li Niu 0002,Shanghai Jiao Tong University,http://bcmi.sjtu.edu.cn/home/niuli/index.html,OhT3AWMAAAAJ,1303.0,18.0
195,Rui Wang 0015,Shanghai Jiao Tong University,http://bcmi.sjtu.edu.cn/home/wangrui,oTU0v5IAAAAJ,1416.0,20.0
196,Baoliang Lu,Shanghai Jiao Tong University,http://bcmi.sjtu.edu.cn/~blu,709il6EAAAAJ,11815.0,50.0
197,Tianfang Yao,Shanghai Jiao Tong University,http://bcmi.sjtu.edu.cn/~yaotianfang,NOSCHOLARPAGE,,
198,Liqing Zhang 0001,Shanghai Jiao Tong University,http://bcmi.sjtu.edu.cn/~zhangliqing/Index.html,1smFmxAAAAAJ,11295.0,40.0
199,Hai Zhao,Shanghai Jiao Tong University,http://bcmi.sjtu.edu.cn/~zhaohai,4dU5KS0AAAAJ,5634.0,33.0
200,Berk Canberk,Istanbul Technical University,http://bcrg.itu.edu.tr,q3ueClIAAAAJ,1003.0,16.0
201,Joyce Jiyoung Whang,KAIST,http://bdi-lab.kaist.ac.kr,TLrKglQAAAAJ,861.0,11.0
202,Ji Won Seo,Hanyang University,http://bdsl.hanyang.ac.kr/members/jiwonseo,O1WC6TAAAAAJ,756.0,8.0
203,Joël Goossens,Université libre de Bruxelles,http://beams.ulb.ac.be/users/jo%C3%ABl-goossens,jTzDAsIAAAAJ,3770.0,35.0
204,Gill Bejerano,Stanford University,http://bejerano.stanford.edu/pi.html,NOSCHOLARPAGE,,
205,Benjamin Fuller,University of Connecticut,http://benjamin-fuller.uconn.edu,7wXWIdUAAAAJ,727.0,14.0
206,R. Benjamin Shapiro,University of Colorado Boulder,http://benshapi.ro,BjX6lbwAAAAJ,1466.0,17.0
207,Aaron Bernstein,Rutgers University,http://bernsteinaaron.com,N94spO0AAAAJ,1191.0,21.0
208,Bert C. Huang,Tufts University,http://berthuang.com,TrqegZIAAAAJ,4200.0,31.0
209,Steven Bethard,University of Arizona,http://bethard.faculty.arizona.edu,sXM8J5EAAAAJ,14035.0,45.0
210,Matthias Bethge,University of Tübingen,http://bethgelab.org/people/matthias,0z0fNxUAAAAJ,23995.0,62.0
211,Betsy DiSalvo,Georgia Institute of Technology,http://betsydisalvo.com,NOSCHOLARPAGE,,
212,Ku-Jin Kim,Kyungpook National University,http://bh.knu.ac.kr/~kujinkim,yD2zLvYAAAAJ,679.0,15.0
213,Anne Roudaut,University of Bristol,http://big.cs.bris.ac.uk/people/roudaut,03epP5wAAAAJ,,
214,In-Young Ko,KAIST,http://bigbear.kaist.ac.kr/~iko,qf6c5k4AAAAJ,1347.0,19.0
215,Chang-shui Zhang,Tsinghua University,http://bigeye.au.tsinghua.edu.cn/english/Introduction.html,GL9M37YAAAAJ,22783.0,76.0
216,Jaak Vilo,University of Tartu,http://biit.cs.ut.ee,87E06MgAAAAJ,20156.0,47.0
217,Hava T. Siegelmann,University of Massachusetts Amherst,http://binds.cs.umass.edu/havaBio.html,A2fiOI0AAAAJ,9345.0,35.0
218,Carsten Binnig,TU Darmstadt,http://binnig.name,Iqsl_XMAAAAJ,3275.0,31.0
219,Hong Yu 0001,University of Massachusetts Lowell,http://bio-nlp.org,TyXe64wAAAAJ,9320.0,43.0
