,name,homepage,scholar_id,affiliation,citations,h-index
2137,Bettina Kemme,http://www.cs.mcgill.ca/~kemme,vLbmweYAAAAJ,McGill University,6222.0,35.0
2138,Bettina Rolke,https://fit.uni-tuebingen.de/Portfolio/Details?id=495,NOSCHOLARPAGE,University of Tübingen,,
2139,Bettina Schnor,https://www.cs.uni-potsdam.de/~schnor,NOSCHOLARPAGE,University of Potsdam,,
2140,Bettina Speckmann,http://www.win.tue.nl/~speckman,NOSCHOLARPAGE,TU Eindhoven,,
2141,Betty H. C. Cheng,http://www.cse.msu.edu/~chengb,qABYFOIAAAAJ,Michigan State University,13471.0,53.0
2142,Beverly A. Sanders,https://www.cise.ufl.edu/people/faculty/sanders,NOSCHOLARPAGE,University of Florida,,
2143,Bhagirath Narahari,https://www.seas.gwu.edu/~narahari,NOSCHOLARPAGE,George Washington University,,
2144,Bharat Adsul,https://www.cse.iitb.ac.in/page14,bZhCDxIAAAAJ,IIT Bombay,217.0,8.0
2145,Bharat Deshpande,http://www.bits-pilani.ac.in/goa/bmd/profile,dEH3K6UAAAAJ,BITS Pilani-Goa,227.0,8.0
2146,Bharat Jayaraman,https://www.cse.buffalo.edu/faculty/bharat,MwIL3roAAAAJ,University at Buffalo,1966.0,25.0
2147,Bharat K. Bhargava,https://www.cs.purdue.edu/people/bb,rhLst94AAAAJ,Purdue University,16288.0,64.0
2148,Bharat L. Bhuva,http://engineering.vanderbilt.edu/bio/bharat-bhuva,NOSCHOLARPAGE,Vanderbilt University,,
2149,Bharath Hariharan,http://home.bharathh.info,TpglobcAAAAJ,Cornell University,25037.0,37.0
2150,Bhargab B. Bhattacharya,https://www.isical.ac.in/~bhargab,udxFQnwAAAAJ,IIT Kharagpur,4608.0,33.0
2151,Bhaskar DasGupta,https://www.cs.uic.edu/~dasgupta,V6ddZSkAAAAJ,University of Illinois at Chicago,3629.0,18.0
2152,Bhaskar Krishnamachari,http://ceng.usc.edu/~bkrishna,JHJozAYAAAAJ,University of Southern California,31477.0,80.0
2153,Bhaskaran Raman,http://www.cse.iitk.ac.in/users/braman,qj3IRU8AAAAJ,IIT Bombay,4861.0,34.0
2154,Bhavana Kanukurthi,http://www.csa.iisc.ac.in/~bhavana,QYNU5jMAAAAJ,IISc Bangalore,498.0,10.0
2155,Bhavani M. Thuraisingham,http://www.utdallas.edu/~bhavani.thuraisingham,o_xUNWkAAAAJ,University of Texas at Dallas,15535.0,65.0
2156,Bheemarjuna Reddy Tamma,http://www.iith.ac.in/~tbr,FYHCD2kAAAAJ,IIT Hyderabad,1921.0,20.0
2157,Bhiksha Raj,http://www.cs.cmu.edu/~bhiksha,IWcGY98AAAAJ,Carnegie Mellon University,17468.0,58.0
2158,Bhiksha Ramakrishnan,https://www.cs.cmu.edu/directory/bhikshar,NOSCHOLARPAGE,Carnegie Mellon University,,
2159,Bhubaneswar Mishra,https://cs.nyu.edu/mishra,kXVBr20AAAAJ,New York University,10308.0,54.0
2160,Bhujanga Chakrabarti,http://sms.victoria.ac.nz/Main/BhujangaChakrabarti,3VT_IZEAAAAJ,Victoria University of Wellington,623.0,14.0
2161,Bhuvan Urgaonkar,http://www.cse.psu.edu/~buu1,ZoI6hPwAAAAJ,Pennsylvania State University,8613.0,39.0
2162,Bhuwan Dhingra,http://www.cs.cmu.edu/~bdhingra/,2W2ttrQAAAAJ,Duke University,,
2163,Biagio Cosenza,http://cosenza.eu,gQCXas8AAAAJ,University of Salerno,1137.0,14.0
2164,Bianca Schröder,http://www.cs.toronto.edu/~bianca,TW4Th98AAAAJ,University of Toronto,8386.0,32.0
2165,Biao Chen,http://comlab.ecs.syr.edu/people/bchen,653GqXUAAAAJ,Syracuse University,6198.0,37.0
2166,Biao Hou,https://web.xidian.edu.cn/houbiao/,bstmPikAAAAJ,Xidian University,3926.0,31.0
2167,Biao Leng,http://scse.buaa.edu.cn/info/1024/2975.htm,zQqJW3gAAAAJ,Beihang University,1354.0,20.0
2168,Biao Qin,http://info.ruc.edu.cn/academic_professor.php?teacher_id=31,NOSCHOLARPAGE,Renmin University of China,,
2169,Biaoshuai Tao,https://jhc.sjtu.edu.cn/~bstao,F65i6zcAAAAJ,Shanghai Jiao Tong University,213.0,7.0
2170,Bihuan Chen,https://chenbihuan.github.io,Cz-4wl0AAAAJ,Fudan University,1487.0,19.0
2171,Biing-Feng Wang,http://clark.cs.nthu.edu.tw/advisor.php,NOSCHOLARPAGE,National Tsing Hua University,,
2172,Bijan Parsia,http://www.cs.man.ac.uk/~bparsia,UBcjZigAAAAJ,University of Manchester,25234.0,59.0
2173,Bijaya Adhikari,https://cs.uiowa.edu/people/bijaya-adhikari,lfRiJ8YAAAAJ,University of Iowa,420.0,11.0
2174,Bijaya Karki,https://www.lsu.edu/science/geology/people/faculty/karki.php,PVKPY-IAAAAJ,Louisiana State University,6191.0,38.0
2175,Bijoy Chand Chatterjee,https://www.bijoycc.site,mYKBDyYAAAAJ,South Asian University,1585.0,17.0
2176,Biju K. Raveendran,http://www.bits-pilani.ac.in/goa/biju/profile,wpRpGpwAAAAJ,BITS Pilani-Goa,120.0,6.0
2177,Bikramjit Banerjee,https://www.usm.edu/computing/faculty/bikramjit-banerjee,WHs9gMMAAAAJ,University of Southern Mississippi,,
2178,Bilal Khan,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Bilal-Khan,uOBB1tEAAAAJ,CUNY,1732.0,19.0
2179,Bilel Derbel,https://www.cristal.univ-lille.fr/profil/derbel,NOSCHOLARPAGE,CRIStAL,,
2180,Bilge Mutlu,http://pages.cs.wisc.edu/~bilge,VGr54BoAAAAJ,University of Wisconsin - Madison,8565.0,49.0
2181,Bill Aiello,https://www.cs.ubc.ca/people/bill-aiello,7gbCeoEAAAAJ,University of British Columbia,6898.0,37.0
2182,Bill Barrett,https://cs.byu.edu/faculty/barrett,yLWfq68AAAAJ,Brigham Young University,5899.0,29.0
2183,Bill Campbell,https://www.umb.edu/academics/csm/faculty_staff/bill_campbell,ekic9BkAAAAJ,University of Massachusetts Boston,8668.0,41.0
2184,Bill Carroll,http://ranger.uta.edu/~carroll,b77CHHoAAAAJ,University of Texas at Arlington,1147.0,11.0
2185,Bill Dally,http://csl.stanford.edu/~billd,YZHj-Y4AAAAJ,Stanford University,78184.0,101.0
2186,Bill Fefferman,http://www.billfefferman.com,EBIByAIAAAAJ,University of Chicago,846.0,14.0
2187,Bill Freeman,https://billf.mit.edu,0zZnyMEAAAAJ,Massachusetts Institute of Technology,87032.0,123.0
2188,Bill Gropp,http://wgropp.cs.illinois.edu,vB96fX8AAAAJ,Univ. of Illinois at Urbana-Champaign,51100.0,84.0
2189,Bill Hamilton,https://www.cs.nmsu.edu/plexlab/people/bill,W7jbeOwAAAAJ,New Mexico State University,1245.0,14.0
2190,Bill Hoff,http://inside.mines.edu/~whoff,XvoGQx4AAAAJ,Colorado School of Mines,4200.0,25.0
2191,Bill Keller,http://www.sussex.ac.uk/informatics/people/peoplelists/person/1463,go6vIr0AAAAJ,University of Sussex,1222.0,16.0
2192,Bill Lin,http://cwcserv.ucsd.edu/~billlin,j3geh3QAAAAJ,Univ. of California - San Diego,6214.0,44.0
2193,Bill P. Buckles,http://www.cse.unt.edu/~bbuckles,4TYgrZ8AAAAJ,University of North Texas,5274.0,38.0
2194,Bill Rogers,http://www.cms.waikato.ac.nz/people/coms0108,RP4Z1UQAAAAJ,University of Waikato,5134.0,34.0
2195,Bill Scherlis,http://www.cs.cmu.edu/~wls,F6LzqwMAAAAJ,Carnegie Mellon University,10932.0,25.0
2196,Bill Smart,http://people.oregonstate.edu/~smartw,sWCpXFgAAAAJ,Oregon State University,4052.0,30.0
2197,Bill Stackpole,https://www.rit.edu/gccis/computingsecurity/people/bill-stackpole,z-ALk7QAAAAJ,Rochester Institute of Technology,445.0,12.0
2198,Bill Tomlinson,http://www.ics.uci.edu/~wmt,NOSCHOLARPAGE,Univ. of California - Irvine,,
2199,Bill Wang,http://www.massey.ac.nz/massey/learning/colleges/college-of-sciences/staff-list.cfm?stref=059250,u9TbFb0AAAAJ,Massey University,,
2200,Billy Bob Brumley,https://www.tuni.fi/en/billy-brumley,7QX0AQYAAAAJ,Tampere University,1553.0,15.0
2201,Bimal Viswanath,https://people.cs.vt.edu/vbimal,bu1SCOuD_CMC,Virginia Tech,5457.0,20.0
2202,Bin Chen,http://faculty.hitsz.edu.cn/BinChen,Yl0wv7AAAAAJ,Harbin Institute of Technology,367.0,10.0
2203,Bin Cui,http://net.pku.edu.cn/~cuibin,IJAU8KoAAAAJ,Peking University,6820.0,47.0
2204,Bin Gu,https://mbzuai.ac.ae/study/faculty/bin-gu,Vo8OgCgAAAAJ,MBZUAI,3131.0,24.0
2205,Bin Guo,http://www.guob.org,VC6N2iQAAAAJ,NWPU,10126.0,44.0
2206,Bin Jiang,http://csee.hnu.edu.cn/people/jiangbin,NOSCHOLARPAGE,Hunan University,,
2207,Bin Li,http://homepage.fudan.edu.cn/binli/zh,8t97oL8AAAAJ,Fudan University,3216.0,24.0
2208,Bin Liang,http://info.ruc.edu.cn/academic_professor.php?teacher_id=27,NOSCHOLARPAGE,Renmin University of China,,
2209,Bin Liu,http://s-router.cs.tsinghua.edu.cn/~liubin,NOSCHOLARPAGE,Tsinghua University,,
2210,Bin Luo,https://cs.nju.edu.cn/58/1c/c2639a153628/page.htm,NOSCHOLARPAGE,Nanjing University,,
2211,Bin Ma,https://cs.uwaterloo.ca/~binma,f-eL6DYAAAAJ,University of Waterloo,21568.0,44.0
2212,Bin Mu,https://sse.tongji.edu.cn/Data/View/2814,NOSCHOLARPAGE,Tongji University,,
2213,Bin Ren,http://www.wm.edu/as/computerscience/faculty/ren_bin.php,9Uqwy4UAAAAJ,College of William and Mary,714.0,15.0
2214,Bin Sheng,http://english.seiee.sjtu.edu.cn/english/detail/841_963.htm,unORJQ8AAAAJ,Shanghai Jiao Tong University,4554.0,36.0
2215,Bin Sun,http://icl.pku.edu.cn/members/bswen/index.html,NOSCHOLARPAGE,Peking University,,
2216,Bin Wang,http://people.ucas.ac.cn/~wangbin,tDajnHEAAAAJ,Chinese Academy of Sciences,6109.0,32.0
2217,Bin Wu,https://scs.bupt.edu.cn/info/1088/1314.htm,qCf-504AAAAJ,BUPT,4943.0,34.0
2218,Bin Xiao,https://www4.comp.polyu.edu.hk/~csbxiao,yFLW6jgAAAAJ,The Hong Kong Polytechnic University,6548.0,41.0
2219,Bin Xu,http://keg.cs.tsinghua.edu.cn/persons/xubin,h-BY2wgAAAAJ,Tsinghua University,29166.0,84.0
2220,Bin Yang,http://people.cs.aau.dk/~byang,qjBQhoUAAAAJ,Aalborg University,3673.0,39.0
2221,Bin Yang,https://www.iss.uni-stuttgart.de/institut/team/Yang-00004,sm9O9OYAAAAJ,University of Stuttgart,7403.0,39.0
2222,Bin Yao,http://www.cs.sjtu.edu.cn/~yaobin,XIIa8VMAAAAJ,Shanghai Jiao Tong University,13219.0,62.0
2223,Bin Yu,https://www.stat.berkeley.edu/~binyu/Site/Welcome.html,xT19Jc0AAAAJ,Univ. of California - Berkeley,33834.0,74.0
2224,Binay Bhattacharya,http://www.cs.sfu.ca/~anoop,NOSCHOLARPAGE,Simon Fraser University,,
2225,Binbin Chen,https://istd.sutd.edu.sg/people/faculty/binbin-chen,42U2zXcAAAAJ,SUTD,1524.0,19.0
2226,Bing Bing Zhou,http://www.it.usyd.edu.au/~bzho9612,YVvMM_MAAAAJ,University of Sydney,,
2227,Bing Chu,https://www.ecs.soton.ac.uk/people/bc1d11,NOSCHOLARPAGE,University of Southampton,,
2228,Bing Li,http://cs.whu.edu.cn/teacherinfo.aspx?id=354,TgB8tuYAAAAJ,Wuhan University,41209.0,91.0
2229,Bing Liu,https://www.cs.uic.edu/~liub,Kt1bjZoAAAAJ,University of Illinois at Chicago,82793.0,106.0
2230,Bing Mao,https://www.usenix.org/conference/usenixsecurity17/speaker-or-organizer/bing-mao-nanjing-university,4HAkmwcAAAAJ,Nanjing University,23115.0,45.0
2231,Bing Qin,http://ir.hit.edu.cn/~qinb,LKnCub0AAAAJ,Harbin Institute of Technology,12214.0,40.0
2232,Bing Su,http://ai.ruc.edu.cn/academicfaculty/fea218174a6e493a99cfcebdc7dfe6c4.htm,d3g2VJQAAAAJ,Renmin University of China,331.0,11.0
2233,Bing Wang,http://www.engr.uconn.edu/~bing,HvNdFJcAAAAJ,University of Connecticut,58684.0,127.0
2234,Bing Xie,http://sei.pku.edu.cn/~xiebing,f66ae1YAAAAJ,Peking University,2829.0,27.0
2235,Bing Xue,https://ecs.victoria.ac.nz/Main/BingXue,htnpub8AAAAJ,Victoria University of Wellington,4186.0,32.0
2236,Bing Zeng,http://faculty.uestc.edu.cn/cengbing/en/index.htm,s-kUGYQAAAAJ,UESTC,,
2237,Bing-Yu Chen,http://graphics.im.ntu.edu.tw/~robin,8UC5dY4AAAAJ,National Taiwan University,4955.0,42.0
2238,Bingfeng Zhou,http://www.icst.pku.edu.cn/index.php?s=/Home/Article/detail/id/556.html,JZEz0LMAAAAJ,Peking University,717.0,9.0
2239,Bingkai Lin,https://sites.google.com/site/bingkai314159,7jXU6JMAAAAJ,Nanjing University,199.0,7.0
2240,Bingpeng Ma,http://people.ucas.edu.cn/~bpma,fClDLgMAAAAJ,Chinese Academy of Sciences,3492.0,27.0
2241,Bingquan Liu,http://homepage.hit.edu.cn/liubingquan,NOSCHOLARPAGE,Harbin Institute of Technology,,
2242,Bingsheng He,http://www.comp.nus.edu.sg/~hebs,RogYLKYAAAAJ,National University of Singapore,11229.0,54.0
2243,Bingsheng Zhang,https://person.zju.edu.cn/en/bingsheng,QnOeC4IAAAAJ,Zhejiang University,1336.0,18.0
2244,Bingxing Fang,http://faculty.hitsz.edu.cn/fangbinxing,NOSCHOLARPAGE,Harbin Institute of Technology,,
2245,Binhai Zhu,https://www.cs.montana.edu/bhz,NOSCHOLARPAGE,Montana State University,,
2246,Binyu Zang,http://english.seiee.sjtu.edu.cn/english/detail/386_975.htm,m3noS0AAAAAJ,Shanghai Jiao Tong University,2949.0,30.0
2247,Bipin C. Desai,http://www.cs.concordia.ca/~bcdesai,NOSCHOLARPAGE,Concordia University,,
2248,Biplab Banerjee,http://www.iitr.ac.in/departments/CSE/pages/People+Biplab_Banerjee.html,0q-fdykAAAAJ,IIT Roorkee,1140.0,18.0
2249,Biplav Srivastava,https://sites.google.com/site/biplavsrivastava,mPC6wp4AAAAJ,University of South Carolina,4957.0,34.0
2250,Bir Bhanu,http://vislab.ucr.edu/PEOPLE/BIR_BHANU,AhRGIcwAAAAJ,Univ. of California - Riverside,18840.0,65.0
2251,Bireswar Das,http://www.iitgn.ac.in/faculty/comp/bireswar.htm,RcBEsucAAAAJ,IIT Gandhinagar,276.0,9.0
2252,Birgit Endrass,http://hci.uni-wuerzburg.de/people/birgit,x6LNQoAAAAAJ,University of Würzburg,1244.0,22.0
2253,Birgit Grohe,https://www.chalmers.se/en/staff/Pages/grohe.aspx,NOSCHOLARPAGE,Chalmers/GU,,
2254,Birgit Penzenstadler,https://www.chalmers.se/en/staff/Pages/birgit.aspx,TNoA6ZMAAAAJ,Chalmers/GU,3539.0,31.0
2255,Birgit Pröll,https://www.jku.at/en/faw/about-us/team/birgit-proell,NOSCHOLARPAGE,JKU Linz,,
2256,Birgit Vogtenhuber,http://www.ist.tugraz.at/vogtenhuber,NOSCHOLARPAGE,Graz University of Technology,,
2257,Birgitta König-Ries,http://fusion.cs.uni-jena.de/fusion,DbusQz8AAAAJ,Friedrich Schiller University Jena,3971.0,30.0
2258,Birhanu Eshete,https://umdearborn.edu/users/birhanu,DVLQDSoAAAAJ,University of Michigan-Dearborn,844.0,15.0
2259,Birna van Riemsdijk,https://research.utwente.nl/en/persons/maria-birna-van-riemsdijk,PnxGeHMAAAAJ,University of Twente,2800.0,27.0
2260,Birte Glimm,https://www.uni-ulm.de/in/ki/inst/staff/birte-glimm,hymHrFcAAAAJ,University of Ulm,2985.0,23.0
2261,Bistra Dilkina,https://viterbi.usc.edu/directory/faculty/Dilkina/Bistra,1jjyaBYAAAAJ,University of Southern California,3574.0,29.0
2262,Biswabandan Panda,https://www.cse.iitb.ac.in/~biswa,ZGZkHzcAAAAJ ,IIT Bombay,,
2263,Biswajit Mishra,http://intranet.daiict.ac.in/~biswajitmishra,xmVV6WcAAAAJ,DAIICT,2529.0,27.0
2264,Biswajit Purkayastha,http://cs.nits.ac.in/biswajit,J7oXZYkAAAAJ,National Institute of Technology Silchar,514.0,12.0
2265,Biswanath Dey,http://cs.nits.ac.in/bdey,38RH3kAAAAJ,National Institute of Technology Silchar,,
2266,Biswanath Mukherjee,http://networks.cs.ucdavis.edu/~mukherje,ytXtLjkAAAAJ,Univ. of California - Davis,58489.0,99.0
2267,Bivas Mitra,http://cse.iitkgp.ac.in/~bivasm,mQ57itUAAAAJ,IIT Kharagpur,836.0,17.0
2268,Bixio Rimoldi,https://people.epfl.ch/bixio.rimoldi,SsEHa6cAAAAJ,EPFL,3971.0,23.0
2269,Bjoern Andres,https://mlcv.inf.tu-dresden.de,3Bfgs9cAAAAJ,TU Dresden,5881.0,29.0
2270,Bjoern Eskofier,https://www.mad.tf.fau.de/person/bjoern-eskofier,7ems5nYAAAAJ,University of Erlangen–Nuremberg,7507.0,40.0
2271,Bjoern H. Menze,http://people.csail.mit.edu/menze,Kv2QrQgAAAAJ,TU Munich,14665.0,49.0
2272,Bjoern Hartmann,https://people.eecs.berkeley.edu/~bjoern,aZMY6_UAAAAJ,Univ. of California - Berkeley,10506.0,52.0
2273,Björn B. Brandenburg [SWS],http://www.mpi-sws.org/~bbb,xRuGtp4AAAAJ,Max Planck Society,4213.0,34.0
2274,Björn E. Ottersten,http://wwwen.uni.lu/snt/people/bjoern_ottersten,OAWYhh0AAAAJ,University of Luxembourg,35660.0,93.0
2275,Björn Franke,http://homepages.inf.ed.ac.uk/bfranke,Y6aTqRQAAAAJ,University of Edinburgh,2209.0,22.0
2276,Björn Hein,http://rob.ipr.kit.edu/mitarbeiter_106.php,NOSCHOLARPAGE,Karlsruhe Institute of Technology,,
2277,Björn Hof,https://ist.ac.at/research/research-groups/hof-group,tytU38QAAAAJ,IST Austria,5006.0,32.0
2278,Björn Ommer,https://hci.iwr.uni-heidelberg.de/compvis/prof-ommer,zWbvIUcAAAAJ,Heidelberg University,3523.0,31.0
2279,Björn Regnell,http://cs.lth.se/bjorn-regnell,W37CtAwAAAAJ,Lund University,18350.0,44.0
2280,Björn Scheuermann,http://www.ti.informatik.hu-berlin.de,NOSCHOLARPAGE,Humboldt University of Berlin,,
2281,Björn Victor,http://www.it.uu.se/katalog/victor,ipxE33cAAAAJ,Uppsala University,1731.0,21.0
2282,Björn W. Schuller,https://www.doc.ic.ac.uk/~bschulle,TxKNCSoAAAAJ,Imperial College London,46302.0,97.0
2283,Björn Waske,https://www.uni-osnabrueck.de/universitaet/personensuche/personendetails.html?module=TemplatePersondetails&target=15852&source=14776&config_id=182d4abe417c9851aacad4acd6e0df1b&range_id=studip&username=bwaske,dWjh5LEAAAAJ,University of Osnabrück,5439.0,32.0
2284,Björn Þór Jónsson,http://www.itu.dk/people/bjth,syXaq1IAAAAJ,IT University of Copenhagen,2271.0,18.0
2285,Bjørn Sand Jensen,https://www.gla.ac.uk/schools/computing/staff/bjornjensen,sa4OOmUAAAAJ,University of Glasgow,258.0,9.0
2286,Blaine A. Price,http://stem.open.ac.uk/people/bp5,txHHqGQAAAAJ,Open University UK,4209.0,30.0
2287,Blair D. Sullivan,https://www.cs.utah.edu/~sullivan/#!/about,oZBtvZMAAAAJ,University of Utah,,
2288,Blair MacIntyre,https://blairmacintyre.me,UA3tyKwAAAAJ,Georgia Institute of Technology,16671.0,47.0
2289,Blair Nonnecke,https://www.uoguelph.ca/computing/people/blair-nonnecke,73-woeEAAAAJ,University of Guelph,6028.0,17.0
2290,Blanca Rodríguez,http://www.cs.ox.ac.uk/people/blanca.rodriguez,qYidL6sAAAAJ,University of Oxford,6940.0,49.0
2291,Blase Ur,http://www.blaseur.com,3Xql0fwAAAAJ,University of Chicago,5957.0,39.0
2292,Blayne E. Mayfield,http://cs.okstate.edu/%7Ebem,NOSCHOLARPAGE,Oklahoma State University,,
2293,Blesson Varghese,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=b.varghese,2JoDRIMAAAAJ,Queen's University Belfast,2872.0,21.0
2294,Bo An,http://www.ntu.edu.sg/home/boan,CvdNmi0AAAAJ,Nanyang Technological University,141803.0,157.0
2295,Bo Chen,https://www.is.uestc.edu.cn/teachers.do?id=1061,NOSCHOLARPAGE,UESTC,,
2296,Bo Cheng,https://int.bupt.edu.cn/content/content.php?p=6_16_134,C57XAcEAAAAJ,BUPT,3360.0,30.0
2297,Bo Han,https://bohan00.github.io,BhRa314AAAAJ,George Mason University,5706.0,30.0
2298,Bo Han,https://bhanml.github.io,nTNjqHwAAAAJ,Hong Kong Baptist University,2639.0,21.0
2299,Bo Ji,http://people.cs.vt.edu/boji,9ILgtvAAAAAJ,Virginia Tech,1255.0,19.0
2300,Bo Lang,http://scse.buaa.edu.cn/info/1078/2660.htm,NOSCHOLARPAGE,Beihang University,,
2301,Bo Li,https://www.cse.ust.hk/~bli,BMkV-YoAAAAJ,HKUST,133895.0,106.0
2302,Bo Li,http://scse.buaa.edu.cn/info/1078/2639.htm,NOSCHOLARPAGE,Beihang University,,
2303,Bo Li,http://boli.cs.illinois.edu,K8vJkTcAAAAJ,Univ. of Illinois at Urbana-Champaign,12786.0,50.0
2304,Bo Liu,https://liubo-cs.github.io,8MliTo4AAAAJ,George Mason University,1728.0,21.0
2305,Bo Luo,http://www.ittc.ku.edu/~bluo,roY9L1oAAAAJ,University of Kansas,3194.0,27.0
2306,Bo Ou,http://csee.hnu.edu.cn/people/oubo,o81gbSQAAAAJ,Hunan University,1278.0,14.0
2307,Bo Sheng,http://www.cs.umb.edu/~shengbo,Dt5oPoMAAAAJ,University of Massachusetts Boston,23283.0,75.0
2308,Bo Tang,https://faculty.sustech.edu.cn/tangb3,og0Jsq4AAAAJ,SUSTech,315.0,9.0
2309,Bo Waggoner,https://www.bowaggoner.com,Y_Ieu7EAAAAJ,University of Colorado Boulder,809.0,14.0
2310,Bo Wu,https://inside.mines.edu/~bwu,E-2t4EQAAAAJ,Colorado School of Mines,10573.0,29.0
2311,Bo Yan,http://homepage.fudan.edu.cn/boyan,NOSCHOLARPAGE,Fudan University,,
2312,Bo Yang,https://www.en.scse.uestc.edu.cn/info/1085/1772.htm,H2Oo_MkAAAAJ,UESTC,2478.0,24.0
2313,Bo Yuan,http://byuan.csec.rit.edu,utrtn3cAAAAJ,Rochester Institute of Technology,18866.0,26.0
2314,Bo Yuan,https://faculty.sustech.edu.cn/yuanb,MAdS9ZsAAAAJ,SUSTech,694.0,10.0
2315,Bo Zhang,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101226104412516277601/20101226104412516277601_.html,NOSCHOLARPAGE,Tsinghua University,,
2316,Bo Zhu,https://web.cs.dartmouth.edu/people/bo-zhu,LM_HjvIAAAAJ,Dartmouth College,,
2317,Bo-Ting Yang,http://www.cs.uregina.ca/People/Profiles/BotingYang.html,NOSCHOLARPAGE,University of Regina,,
2318,Boaz Barak,http://www.boazbarak.org,XGiiygQAAAAJ,Harvard University,,
2319,Boaz Ben-Moshe,http://www.ariel.ac.il/sites/bmboaz,EqqHg3MAAAAJ,Ariel University,1402.0,20.0
2320,Boaz Nadler,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=29639,N3Jj5_cAAAAJ,Weizmann Institute of Science,8865.0,41.0
2321,Bob Coecke,http://www.cs.ox.ac.uk/bob.coecke,fO17CXgAAAAJ,University of Oxford,8151.0,43.0
2322,Bob De Schutter,https://www.bobdeschutter.be,6Imct_kAAAAJ,Northeastern University,1290.0,16.0
2323,Bob Edmison,http://people.cs.vt.edu/~kedmison,lIZFlMUAAAAJ,Virginia Tech,38.0,4.0
2324,Bob Fields,http://www.cs.mdx.ac.uk/people/bob-fields,DrLWtAYAAAAJ,Middlesex University,2143.0,23.0
2325,Bob Fisher,http://homepages.inf.ed.ac.uk/rbf,LigYduEAAAAJ,University of Edinburgh,17656.0,53.0
2326,Bob J. Wielinga,http://wm.cs.vu.nl,NOSCHOLARPAGE,VU Amsterdam,,
2327,Bob McKay,https://cecs.anu.edu.au/people/robert-ian-mckay,BphNXV8AAAAJ,Australian National University,10805.0,51.0
2328,Bob Sedgewick,https://www.cs.princeton.edu/~rs,NOSCHOLARPAGE,Princeton University,,
2329,Bob Weems,http://ranger.uta.edu/~weems,NOSCHOLARPAGE,University of Texas at Arlington,,
2330,Bob Williamson,https://uni-tuebingen.de/en/197812,G4MBruQAAAAJ,University of Tübingen,24292.0,52.0
2331,Bobak J. Mortazavi,http://faculty.cse.tamu.edu/bobakm,TOAg4GkAAAAJ,Texas A&M University,1808.0,23.0
2332,Bobby Bhattacharjee,http://www.cs.umd.edu/~bobby,NOSCHOLARPAGE,University of Maryland - College Park,,
2333,Bobby Bodenheimer,http://www.vuse.vanderbilt.edu/~bobbyb,hI4XguUAAAAJ,Vanderbilt University,6567.0,38.0
2334,Bobby Schnabel,https://www.colorado.edu/cs/bobby-schnabel,NOSCHOLARPAGE,University of Colorado Boulder,,
2335,Bodhisatwa Mazumdar,http://cse.iiti.ac.in/faculty.html,ea-e9TwAAAAJ,IIT Indore,1216.0,15.0
2336,Bodo Rosenhahn,http://www.tnt.uni-hannover.de/staff/rosenhahn,qq3TxtcAAAAJ,University of Hannover,8964.0,46.0
2337,Bodo Urban,https://www.igd.fraunhofer.de/institut/ueber-uns/alumni/bodo-urban,NOSCHOLARPAGE,University of Rostock,,
2338,Bogdan Carbunar,https://users.cs.fiu.edu/~carbunar,B7BCFdoAAAAJ,Florida International University,3578.0,28.0
2339,Bogdan Chlebus,https://www.augusta.edu/faculty/directory/view.php?id=BCHLEBUS,_JWhZSAAAAAJ,Augusta University,2468.0,27.0
2340,Bogdan Dit,http://cs.boisestate.edu/~bdit,txY2NHUAAAAJ,Boise State University,2479.0,21.0
2341,Bogdan Korel,https://science.iit.edu/people/faculty/bogdan-korel,NOSCHOLARPAGE,Illinois Institute of Technology,,
2342,Bogdan Savchynskyy,https://hci.iwr.uni-heidelberg.de/vislearn/people/bogdan,nvycljAAAAAJ,Heidelberg University,1331.0,18.0
2343,Bogdan Simion,http://www.cs.toronto.edu/~bogdan,NOSCHOLARPAGE,University of Toronto,,
2344,Bogdan Vasilescu,http://bvasiles.github.io,bcXjlqYAAAAJ,Carnegie Mellon University,4651.0,35.0
2345,Bogdan Warinschi,http://www.bris.ac.uk/engineering/people/person/bogdan-warinschi/index.html,kS0oatgAAAAJ,University of Bristol,5515.0,38.0
2346,Boguslaw Obara,https://www.dur.ac.uk/computer.science/staff/profile/?id=10591,lg9xfisAAAAJ,Durham University,1808.0,19.0
2347,Bohyung Han,http://cvlab.snu.ac.kr/~bhhan,9aaeCToAAAAJ,Seoul National University,16521.0,49.0
2348,Boi Faltings,http://liawww.epfl.ch/~faltings,X21nbgcAAAAJ,EPFL,,
2349,Bojan Cukic,https://cci.uncc.edu/directory/bojan-cukic,B7N812UAAAAJ,UNC - Charlotte,8851.0,38.0
2350,Bolei Zhou,https://boleizhou.github.io,9D4aG8AAAAAJ,Univ. of California - Los Angeles,25217.0,49.0
2351,Boleslaw K. Szymanski,http://www.cs.rpi.edu/~szymansk,2OJOZTUAAAAJ,Rensselaer Polytechnic Institute,19793.0,67.0
2352,Bolette Sanford Pedersen,https://nors.ku.dk/english/staff/?pure=en/persons/134967,NOSCHOLARPAGE,University of Copenhagen,,
